000000000000000000000000
2	00000000000000003f800000
3	000000000000000040000000
4	000000000000000040400000
5	000000000000000040800000
6	000000000000000040a00000
7	000000000000000040c00000
8	000000000000000040e00000
9	000000000000000041000000
10	000000000000000041100000
11	000000000000000041200000
12	000000000000000041300000
13	000000000000000041400000
14	000000000000000041500000
15	000000000000000041600000
16	000000000000000041700000
17	000000000000000041800000
18	000000000000000041880000
19	000000000000000041900000
20	000000000000000041980000
21	000000000000000041a00000
22	000000000000000041a80000
23	000000003f80000000000000
24	000000003f8000003f800000
25	000000003f80000040000000
26	000000003f80000040400000
27	000000003f80000040800000
28	000000003f80000040a00000
29	000000003f80000040c00000
30	000000003f80000040e00000
31	000000003f80000041000000
32	000000003f80000041100000
33	000000003f80000041200000
34	000000003f80000041300000
35	000000003f80000041400000
36	000000003f80000041500000
37	000000003f80000041600000
38	000000003f80000041700000
39	000000003f80000041800000
40	000000003f80000041880000
41	000000003f80000041900000
42	000000003f80000041980000
43	000000003f80000041a00000
44	000000003f80000041a80000
45	000000004000000000000000
46	00000000400000003f800000
47	000000004000000040000000
48	000000004000000040400000
49	000000004000000040800000
50	000000004000000040a00000
51	000000004000000040c00000
52	000000004000000040e00000
53	000000004000000041000000
54	000000004000000041100000
55	000000004000000041200000
56	000000004000000041300000
57	000000004000000041400000
58	000000004000000041500000
59	000000004000000041600000
60	000000004000000041700000
61	000000004000000041800000
62	000000004000000041880000
63	000000004000000041900000
64	000000004000000041980000
65	000000004000000041a00000
66	000000004000000041a80000
67	000000004040000000000000
68	00000000404000003f800000
69	000000004040000040000000
70	000000004040000040400000
71	000000004040000040800000
72	000000004040000040a00000
73	000000004040000040c00000
74	000000004040000040e00000
75	000000004040000041000000
76	000000004040000041100000
77	000000004040000041200000
78	000000004040000041300000
79	000000004040000041400000
80	000000004040000041500000
81	000000004040000041600000
82	000000004040000041700000
83	000000004040000041800000
84	000000004040000041880000
85	000000004040000041900000
86	000000004040000041980000
87	000000004040000041a00000
88	000000004040000041a80000
89	000000004080000000000000
90	00000000408000003f800000
91	000000004080000040000000
92	000000004080000040400000
93	000000004080000040800000
94	000000004080000040a00000
95	000000004080000040c00000
96	000000004080000040e00000
97	000000004080000041000000
98	000000004080000041100000
99	000000004080000041200000
100	000000004080000041300000
101	000000004080000041400000
102	000000004080000041500000
103	000000004080000041600000
104	000000004080000041700000
